Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
c2.all.v2024.1.Hs.symbols.gmt	PHONG_TNF_RESPONSE_VIA_P38_COMPLETE	2/224	2.452703e-01	3.731830e-01	2.657334e+00	3.734601e+00	ATF3;PPP1R15A
c2.all.v2024.1.Hs.symbols.gmt	PHONG_TNF_RESPONSE_VIA_P38_PARTIAL	2/164	1.533253e-01	3.023029e-01	3.648482e+00	6.841611e+00	CXCL8;TCIM
c2.all.v2024.1.Hs.symbols.gmt	PHONG_TNF_TARGETS_UP	2/63	2.933011e-02	1.409738e-01	9.684685e+00	3.417861e+01	ATF3;CXCL8
c2.all.v2024.1.Hs.symbols.gmt	PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_DN	2/137	1.147386e-01	2.689103e-01	4.380872e+00	9.485020e+00	PPP1R15A;GADD45A
c2.all.v2024.1.Hs.symbols.gmt	PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP	2/211	2.249498e-01	3.589947e-01	2.823905e+00	4.212922e+00	CP;TCIM
c2.all.v2024.1.Hs.symbols.gmt	PID_AP1_PATHWAY	2/70	3.558664e-02	1.610276e-01	8.692247e+00	2.899547e+01	ATF3;CXCL8
c2.all.v2024.1.Hs.symbols.gmt	PID_AR_TF_PATHWAY	3/53	1.478956e-03	1.773047e-02	1.670070e+01	1.088287e+02	HSP90AA1;DNAJA1;RACK1
c2.all.v2024.1.Hs.symbols.gmt	PID_ATF2_PATHWAY	3/59	2.015148e-03	2.235956e-02	1.492311e+01	9.262868e+01	ATF3;GADD45A;CXCL8
c2.all.v2024.1.Hs.symbols.gmt	PID_AURORA_A_PATHWAY	1/31	1.233756e-01	2.740804e-01	1.160787e+01	2.428973e+01	GADD45A
c2.all.v2024.1.Hs.symbols.gmt	PID_AVB3_INTEGRIN_PATHWAY	1/74	2.699417e-01	3.904982e-01	4.807487e+00	6.295641e+00	HSP90AA1
c2.all.v2024.1.Hs.symbols.gmt	PID_BETA_CATENIN_NUC_PATHWAY	2/80	4.532280e-02	1.752896e-01	7.581511e+00	2.345678e+01	MT-CO2;CXCL8
c2.all.v2024.1.Hs.symbols.gmt	PID_BMP_PATHWAY	1/42	1.634300e-01	3.095469e-01	8.526835e+00	1.544526e+01	PPP1R15A
c2.all.v2024.1.Hs.symbols.gmt	PID_CMYB_PATHWAY	1/84	3.003881e-01	4.122431e-01	4.229818e+00	5.087119e+00	LYZ
c2.all.v2024.1.Hs.symbols.gmt	PID_CXCR4_PATHWAY	1/100	3.465095e-01	4.500740e-01	3.547067e+00	3.759341e+00	RACK1
c2.all.v2024.1.Hs.symbols.gmt	PID_DELTA_NP63_PATHWAY	1/47	1.810327e-01	3.241495e-01	7.608246e+00	1.300308e+01	RACK1
c2.all.v2024.1.Hs.symbols.gmt	PID_ERBB_NETWORK_PATHWAY	1/15	6.170557e-02	1.980274e-01	2.443426e+01	6.805873e+01	HSP90AA1
c2.all.v2024.1.Hs.symbols.gmt	PID_FOXO_PATHWAY	1/49	1.879707e-01	3.283977e-01	7.293842e+00	1.219143e+01	GADD45A
c2.all.v2024.1.Hs.symbols.gmt	PID_FRA_PATHWAY	1/37	1.454530e-01	2.960146e-01	9.697092e+00	1.869504e+01	CXCL8
c2.all.v2024.1.Hs.symbols.gmt	PID_HDAC_CLASSII_PATHWAY	1/34	1.344840e-01	2.842285e-01	1.056692e+01	2.120053e+01	HSP90AA1
c2.all.v2024.1.Hs.symbols.gmt	PID_HIF1A_PATHWAY	2/19	2.896343e-03	3.002182e-02	3.410270e+01	1.993066e+02	HSP90AA1;RACK1
c2.all.v2024.1.Hs.symbols.gmt	PID_HIF1_TFPATHWAY	1/66	2.446439e-01	3.725015e-01	5.396620e+00	7.598181e+00	CP
c2.all.v2024.1.Hs.symbols.gmt	PID_HNF3A_PATHWAY	3/44	8.594546e-04	1.227960e-02	2.033083e+01	1.435197e+02	SFTPA2;SFTPA1;SCGB1A1
c2.all.v2024.1.Hs.symbols.gmt	PID_IGF1_PATHWAY	1/29	1.158918e-01	2.689103e-01	1.242359e+01	2.677405e+01	RACK1
c2.all.v2024.1.Hs.symbols.gmt	PID_IL2_PI3K_PATHWAY	1/34	1.344840e-01	2.842285e-01	1.056692e+01	2.120053e+01	HSP90AA1
c2.all.v2024.1.Hs.symbols.gmt	PID_IL8_CXCR1_PATHWAY	1/28	1.121262e-01	2.639902e-01	1.287594e+01	2.817422e+01	CXCL8
c2.all.v2024.1.Hs.symbols.gmt	PID_IL8_CXCR2_PATHWAY	1/34	1.344840e-01	2.842285e-01	1.056692e+01	2.120053e+01	CXCL8
c2.all.v2024.1.Hs.symbols.gmt	PID_ILK_PATHWAY	1/45	1.740360e-01	3.187349e-01	7.950910e+00	1.390211e+01	HSP90AA1
c2.all.v2024.1.Hs.symbols.gmt	PID_LKB1_PATHWAY	1/47	1.810327e-01	3.241495e-01	7.608246e+00	1.300308e+01	HSP90AA1
c2.all.v2024.1.Hs.symbols.gmt	PID_LYSOPHOSPHOLIPID_PATHWAY	1/65	2.414213e-01	3.702976e-01	5.480537e+00	7.789005e+00	CXCL8
c2.all.v2024.1.Hs.symbols.gmt	PID_MYC_ACTIV_PATHWAY	1/79	2.853253e-01	4.005306e-01	4.500255e+00	5.643885e+00	HSP90AA1
c2.all.v2024.1.Hs.symbols.gmt	PID_MYC_REPRESS_PATHWAY	1/63	2.349352e-01	3.662742e-01	5.656428e+00	8.193028e+00	GADD45A
c2.all.v2024.1.Hs.symbols.gmt	PID_NFAT_TFPATHWAY	1/45	1.740360e-01	3.187349e-01	7.950910e+00	1.390211e+01	CXCL8
c2.all.v2024.1.Hs.symbols.gmt	PID_P38_MKK3_6PATHWAY	1/26	1.045474e-01	2.529999e-01	1.388707e+01	3.135860e+01	GADD45A
c2.all.v2024.1.Hs.symbols.gmt	PID_P53_DOWNSTREAM_PATHWAY	3/137	2.051883e-02	1.144446e-01	6.246633e+00	2.427699e+01	ATF3;GADD45A;GPX1
c2.all.v2024.1.Hs.symbols.gmt	PID_P53_REGULATION_PATHWAY	1/59	2.217980e-01	3.578273e-01	6.044289e+00	9.102627e+00	RPL23
c2.all.v2024.1.Hs.symbols.gmt	PID_P73PATHWAY	1/79	2.853253e-01	4.005306e-01	4.500255e+00	5.643885e+00	RACK1
c2.all.v2024.1.Hs.symbols.gmt	PID_PI3KCI_AKT_PATHWAY	1/35	1.381557e-01	2.876176e-01	1.026017e+01	2.030872e+01	HSP90AA1
c2.all.v2024.1.Hs.symbols.gmt	PID_PI3KCI_PATHWAY	1/48	1.845090e-01	3.264510e-01	7.447734e+00	1.258710e+01	HSP90AA1
c2.all.v2024.1.Hs.symbols.gmt	PID_REG_GR_PATHWAY	2/82	4.737566e-02	1.793569e-01	7.392479e+00	2.254445e+01	HSP90AA1;CXCL8
c2.all.v2024.1.Hs.symbols.gmt	PID_SMAD2_3NUCLEAR_PATHWAY	1/82	2.944010e-01	4.075119e-01	4.334011e+00	5.299683e+00	ATF3
c2.all.v2024.1.Hs.symbols.gmt	PID_SYNDECAN_2_PATHWAY	2/33	8.605657e-03	6.530781e-02	1.893393e+01	9.003721e+01	CXCL8;RACK1
c2.all.v2024.1.Hs.symbols.gmt	PID_SYNDECAN_3_PATHWAY	1/17	6.964305e-02	2.057725e-01	2.147059e+01	5.720564e+01	CXCL8
c2.all.v2024.1.Hs.symbols.gmt	PID_TAP63_PATHWAY	1/54	2.050624e-01	3.444123e-01	6.610675e+00	1.047423e+01	GADD45A
c2.all.v2024.1.Hs.symbols.gmt	PID_TELOMERASE_PATHWAY	1/67	2.478529e-01	3.751968e-01	5.315227e+00	7.414315e+00	HSP90AA1
c2.all.v2024.1.Hs.symbols.gmt	PID_TGFBR_PATHWAY	1/54	2.050624e-01	3.444123e-01	6.610675e+00	1.047423e+01	PPP1R15A
c2.all.v2024.1.Hs.symbols.gmt	PID_TNF_PATHWAY	1/46	1.775417e-01	3.214861e-01	7.775812e+00	1.344088e+01	RACK1
c2.all.v2024.1.Hs.symbols.gmt	PID_TOLL_ENDOGENOUS_PATHWAY	1/24	9.690462e-02	2.420875e-01	1.507032e+01	3.517454e+01	SFTPA1
c2.all.v2024.1.Hs.symbols.gmt	PID_VEGFR1_2_PATHWAY	1/69	2.542306e-01	3.790744e-01	5.159569e+00	7.066100e+00	HSP90AA1
c2.all.v2024.1.Hs.symbols.gmt	PID_VEGFR1_PATHWAY	1/26	1.045474e-01	2.529999e-01	1.388707e+01	3.135860e+01	HSP90AA1
c2.all.v2024.1.Hs.symbols.gmt	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN	1/109	3.711172e-01	4.672001e-01	3.251509e+00	3.223017e+00	AKAP9
c2.all.v2024.1.Hs.symbols.gmt	PLASARI_TGFB1_TARGETS_10HR_UP	1/196	5.664105e-01	6.311604e-01	1.797407e+00	1.021711e+00	PPP1R15A
c2.all.v2024.1.Hs.symbols.gmt	PODAR_RESPONSE_TO_ADAPHOSTIN_UP	5/148	4.200797e-04	6.740664e-03	9.402235e+00	7.310300e+01	PPP1R15A;GADD45A;NEAT1;DNAAF1;ATF3
c2.all.v2024.1.Hs.symbols.gmt	POMEROY_MEDULLOBLASTOMA_DESMOPLASIC_VS_CLASSIC_DN	4/61	1.309447e-04	2.651949e-03	1.906063e+01	1.704160e+02	RPS29;RPL39;RPL10A;RPL21
c2.all.v2024.1.Hs.symbols.gmt	POMEROY_MEDULLOBLASTOMA_DESMOPLASIC_VS_CLASSIC_UP	1/63	2.349352e-01	3.662742e-01	5.656428e+00	8.193028e+00	HSP90AA1
c2.all.v2024.1.Hs.symbols.gmt	POMEROY_MEDULLOBLASTOMA_PROGNOSIS_DN	2/44	1.496131e-02	9.469072e-02	1.402639e+01	5.894293e+01	RPL27A;RPL10A
c2.all.v2024.1.Hs.symbols.gmt	POMEROY_MEDULLOBLASTOMA_PROGNOSIS_UP	1/48	1.845090e-01	3.264510e-01	7.447734e+00	1.258710e+01	TMSB4X
c2.all.v2024.1.Hs.symbols.gmt	POOLA_INVASIVE_BREAST_CANCER_DN	1/133	4.323453e-01	5.171286e-01	2.659651e+00	2.230199e+00	LTF
c2.all.v2024.1.Hs.symbols.gmt	POOLA_INVASIVE_BREAST_CANCER_UP	2/292	3.513779e-01	4.541713e-01	2.028981e+00	2.122097e+00	LYZ;S100P
c2.all.v2024.1.Hs.symbols.gmt	PROVENZANI_METASTASIS_DN	2/142	1.216798e-01	2.740804e-01	4.224007e+00	8.897290e+00	FTL;LCN2
c2.all.v2024.1.Hs.symbols.gmt	PUIFFE_INVASION_INHIBITED_BY_ASCITES_DN	2/146	1.273057e-01	2.774918e-01	4.106331e+00	8.463822e+00	MSMB;CXCL8
c2.all.v2024.1.Hs.symbols.gmt	PUIFFE_INVASION_INHIBITED_BY_ASCITES_UP	1/79	2.853253e-01	4.005306e-01	4.500255e+00	5.643885e+00	PABPC3
c2.all.v2024.1.Hs.symbols.gmt	PUJANA_ATM_PCC_NETWORK	8/1394	2.377266e-01	3.674956e-01	1.467964e+00	2.108927e+00	RPL10A;RPL21;RPL31;RPS27;RPL23A;RPL23;RPL13A;RPS15A
c2.all.v2024.1.Hs.symbols.gmt	PUJANA_BRCA1_PCC_NETWORK	13/1626	1.941140e-02	1.100331e-01	2.103070e+00	8.290082e+00	HSPH1;RPL10A;RPL21;RPL27A;RPL31;RPL15;HSP90AA1;RPL23A;RPL23;RPS5;RPL13A;RPL18A;RPS15A
c2.all.v2024.1.Hs.symbols.gmt	PUJANA_CHEK2_PCC_NETWORK	3/761	6.299100e-01	6.802147e-01	1.076207e+00	4.973997e-01	HSP90AA1;HSPH1;RPL23
c2.all.v2024.1.Hs.symbols.gmt	PURBEY_TARGETS_OF_CTBP1_AND_SATB1_UP	1/77	2.792107e-01	3.967531e-01	4.618329e+00	5.892011e+00	NEAT1
c2.all.v2024.1.Hs.symbols.gmt	PURBEY_TARGETS_OF_CTBP1_NOT_SATB1_DN	1/403	8.220681e-01	8.455789e-01	8.647756e-01	1.694372e-01	AGR2
c2.all.v2024.1.Hs.symbols.gmt	PURBEY_TARGETS_OF_CTBP1_NOT_SATB1_UP	1/296	7.177302e-01	7.527327e-01	1.183718e+00	3.925938e-01	SFTPA1
c2.all.v2024.1.Hs.symbols.gmt	PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP	1/195	5.645497e-01	6.294231e-01	1.806731e+00	1.032956e+00	ANKRD36B
c2.all.v2024.1.Hs.symbols.gmt	QI_PLASMACYTOMA_DN	1/98	3.409131e-01	4.450218e-01	3.620156e+00	3.895750e+00	AGR2
c2.all.v2024.1.Hs.symbols.gmt	QI_PLASMACYTOMA_UP	2/254	2.923381e-01	4.062741e-01	2.338400e+00	2.875867e+00	MMP10;TMSB4X
c2.all.v2024.1.Hs.symbols.gmt	RADMACHER_AML_PROGNOSIS	3/81	4.946121e-03	4.344205e-02	1.073012e+01	5.696782e+01	SFTPB;LCN2;S100P
c2.all.v2024.1.Hs.symbols.gmt	RAO_BOUND_BY_SALL4	1/226	6.187202e-01	6.701196e-01	1.556150e+00	7.471107e-01	UBB
c2.all.v2024.1.Hs.symbols.gmt	RAO_BOUND_BY_SALL4_ISOFORM_A	2/194	1.986112e-01	3.401501e-01	3.075676e+00	4.971542e+00	SERPINB3;CFTR
c2.all.v2024.1.Hs.symbols.gmt	RAO_BOUND_BY_SALL4_ISOFORM_B	1/526	8.956114e-01	9.100075e-01	6.586088e-01	7.261075e-02	GADD45A
c2.all.v2024.1.Hs.symbols.gmt	RASHI_NFKB1_TARGETS	1/18	7.358684e-02	2.123128e-01	2.024278e+01	5.281927e+01	LCN2
c2.all.v2024.1.Hs.symbols.gmt	RASHI_RESPONSE_TO_IONIZING_RADIATION_1	2/39	1.188044e-02	8.179077e-02	1.590018e+01	7.048330e+01	ATF3;GADD45A
c2.all.v2024.1.Hs.symbols.gmt	RASHI_RESPONSE_TO_IONIZING_RADIATION_2	3/125	1.612426e-02	9.951245e-02	6.862295e+00	2.832364e+01	ATF3;LCN2;CFTR
c2.all.v2024.1.Hs.symbols.gmt	RASHI_RESPONSE_TO_IONIZING_RADIATION_5	1/134	4.347643e-01	5.191867e-01	2.639608e+00	2.198665e+00	RPS5
c2.all.v2024.1.Hs.symbols.gmt	RASHI_RESPONSE_TO_IONIZING_RADIATION_6	1/97	3.380971e-01	4.430092e-01	3.657837e+00	3.966639e+00	LYZ
c2.all.v2024.1.Hs.symbols.gmt	RAY_ALZHEIMERS_DISEASE	1/13	5.370110e-02	1.861898e-01	2.834631e+01	8.289373e+01	CXCL8
c2.all.v2024.1.Hs.symbols.gmt	RAY_TUMORIGENESIS_BY_ERBB2_CDC25A_DN	1/266	6.788720e-01	7.199426e-01	1.319285e+00	5.109888e-01	HSPH1
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	2/103	7.082498e-02	2.083793e-01	5.857409e+00	1.550775e+01	UBB;CFTR
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_ABC_TRANSPORTER_DISORDERS	2/78	4.330418e-02	1.740511e-01	7.780427e+00	2.442670e+01	UBB;CFTR
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	1/31	1.233756e-01	2.740804e-01	1.160787e+01	2.428973e+01	UBB
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	1/23	9.305905e-02	2.367331e-01	1.574082e+01	3.737691e+01	UBB
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_IKBKE	1/18	7.358684e-02	2.123128e-01	2.024278e+01	5.281927e+01	UBB
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	1/33	1.307967e-01	2.795512e-01	1.089255e+01	2.215666e+01	MMP10
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	6/60	2.046033e-07	7.621475e-06	2.970803e+01	4.575688e+02	RPS29;RPS2;RPS27;RPS5;RPS3;RPS15A
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_ADAPTIVE_IMMUNE_SYSTEM	1/828	9.721791e-01	9.745150e-01	4.123916e-01	1.163572e-02	UBB
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	10/260	1.562586e-07	6.268376e-06	1.083793e+01	1.698494e+02	MT-CYB;MT-CO3;UBB;MT-ND5;MT-CO2;MT-ND1;MT-ATP6;MT-ND3;MT-ND4;MT-ND2
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_AGGREPHAGY	3/44	8.594546e-04	1.227960e-02	2.033083e+01	1.435197e+02	UBB;HSP90AA1;CFTR
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_ALPHA_PROTEIN_KINASE_1_SIGNALING_PATHWAY	1/11	4.562907e-02	1.752896e-01	3.374866e+01	1.041892e+02	UBB
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_AMYLOID_FIBER_FORMATION	3/110	1.145889e-02	8.068189e-02	7.825162e+00	3.497057e+01	UBB;LYZ;LTF
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE	2/97	6.379344e-02	2.009003e-01	6.227112e+00	1.713767e+01	HSP90AA1;AKAP9
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	1/106	3.630183e-01	4.614602e-01	3.344426e+00	3.388913e+00	UBB
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION	1/308	7.319367e-01	7.649399e-01	1.136898e+00	3.547819e-01	UBB
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_ANTIMICROBIAL_PEPTIDES	5/98	6.094914e-05	1.352552e-03	1.446303e+01	1.403705e+02	LCN2;BPIFA1;BPIFB1;LTF;LYZ
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	1/151	4.743601e-01	5.521848e-01	2.339634e+00	1.744872e+00	UBB
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	1/26	1.045474e-01	2.529999e-01	1.388707e+01	3.135860e+01	UBB
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B	1/24	9.690462e-02	2.420875e-01	1.507032e+01	3.517454e+01	UBB
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	1/74	2.699417e-01	3.904982e-01	4.807487e+00	6.295641e+00	UBB
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	1/88	3.122118e-01	4.209914e-01	4.035722e+00	4.697877e+00	UBB
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_APOPTOSIS	1/179	5.336793e-01	6.014344e-01	1.970116e+00	1.237155e+00	UBB
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_ARACHIDONIC_ACID_METABOLISM	1/59	2.217980e-01	3.578273e-01	6.044289e+00	9.102627e+00	GPX1
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	2/307	3.742670e-01	4.694653e-01	1.928031e+00	1.894842e+00	UBB;GOLGB1
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_ASSEMBLY_OF_THE_HIV_VIRION	1/16	6.568265e-02	2.009003e-01	2.285682e+01	6.223731e+01	UBB
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS	1/64	2.381851e-01	3.674956e-01	5.567098e+00	7.987156e+00	UBB
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	2/27	5.815765e-03	4.833341e-02	2.339534e+01	1.204201e+02	ATF3;CXCL8
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_ATTENUATION_PHASE	3/28	2.232717e-04	4.234042e-03	3.311143e+01	2.783718e+02	UBB;HSPH1;HSP90AA1
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA	1/55	2.084377e-01	3.470081e-01	6.489084e+00	1.017563e+01	UBB
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_AURKA_ACTIVATION_BY_TPX2	2/72	3.746101e-02	1.619087e-01	8.444892e+00	2.773686e+01	HSP90AA1;AKAP9
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_AUTOPHAGY	3/158	2.964040e-02	1.421376e-01	5.397870e+00	1.899304e+01	UBB;HSP90AA1;CFTR
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_BACTERIAL_INFECTION_PATHWAYS	3/71	3.415670e-03	3.345112e-02	1.230214e+01	6.986856e+01	UBB;HSP90AA1;LTF
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING	1/146	4.630082e-01	5.422993e-01	2.420585e+00	1.863876e+00	UBB
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	3/98	8.374035e-03	6.445844e-02	8.813235e+00	4.215035e+01	FTL;HSP90AA1;HSPH1
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION	1/28	1.121262e-01	2.639902e-01	1.287594e+01	2.817422e+01	UBB
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_CALNEXIN_CALRETICULIN_CYCLE	1/26	1.045474e-01	2.529999e-01	1.388707e+01	3.135860e+01	UBB
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_CARDIAC_CONDUCTION	1/130	4.250268e-01	5.107177e-01	2.721636e+00	2.328640e+00	AKAP9
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS	2/105	7.322290e-02	2.123128e-01	5.743700e+00	1.501545e+01	UBB;CFTR
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_CELLULAR_RESPONSES_TO_STIMULI	30/828	2.857332e-20	3.506115e-18	1.261406e+01	5.676557e+02	RPS29;UBB;PPP1R15A;RPL37A;RPS2;RPL31;RPL3;RPS27;RPS3;RPL21;RPL28;RPL15;ATF3;DNAJA1;RPL13A;CXCL8;MT-CO3;RPL39;HSPH1;RPL23;RPS5;RPL18A;RPS15A;MT-CO2;GPX1;RPL10A;RPL27A;HSP90AA1;RPL23A;RPL32
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	4/210	1.225607e-02	8.365174e-02	5.271561e+00	2.320401e+01	MT-CO3;UBB;GPX1;MT-CO2
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS	3/101	9.092376e-03	6.793272e-02	8.543647e+00	4.015786e+01	UBB;HSPH1;HSP90AA1
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA	1/75	2.730444e-01	3.925366e-01	4.742741e+00	6.156651e+00	UBB
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_CELLULAR_RESPONSE_TO_STARVATION	21/157	5.385507e-26	9.361807e-24	4.706524e+01	2.738420e+03	RPS29;RPL37A;RPS2;RPL31;RPL3;RPS27;RPS3;RPL21;RPL28;RPL15;ATF3;RPL13A;RPL39;RPL23;RPS5;RPL18A;RPS15A;RPL10A;RPL27A;RPL23A;RPL32
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_CELLULAR_SENESCENCE	2/197	2.032330e-01	3.444123e-01	3.028064e+00	4.824924e+00	UBB;CXCL8
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_CELL_CELL_COMMUNICATION	2/155	1.401813e-01	2.915436e-01	3.863985e+00	7.592029e+00	SFTPA2;SFTPA1
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_CELL_CYCLE	5/694	1.715046e-01	3.185740e-01	1.908147e+00	3.364341e+00	UBB;SYNE2;AKAP9;HSP90AA1;RPS27
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_CELL_CYCLE_CHECKPOINTS	2/291	3.498418e-01	4.527109e-01	2.036083e+00	2.138445e+00	UBB;RPS27
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_CELL_CYCLE_MITOTIC	4/561	2.143584e-01	3.519958e-01	1.921299e+00	2.959004e+00	UBB;RPS27;HSP90AA1;AKAP9
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE	1/76	2.761341e-01	3.945313e-01	4.679711e+00	6.022174e+00	UBB
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_CHAPERONE_MEDIATED_AUTOPHAGY	3/22	1.069075e-04	2.198395e-03	4.331134e+01	3.960192e+02	UBB;HSP90AA1;CFTR
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	1/57	2.151460e-01	3.519958e-01	6.258814e+00	9.616282e+00	CXCL8
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_CHROMATIN_MODIFYING_ENZYMES	1/272	6.870453e-01	7.263945e-01	1.289775e+00	4.841235e-01	RPS2
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_CILIUM_ASSEMBLY	2/201	2.094146e-01	3.480788e-01	2.966809e+00	4.638425e+00	HSP90AA1;AKAP9
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_CIRCADIAN_CLOCK	1/70	2.573993e-01	3.818884e-01	5.085100e+00	6.901124e+00	UBB
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	1/330	7.561689e-01	7.867174e-01	1.059919e+00	2.962373e-01	CXCL8
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	1/381	8.043228e-01	8.306027e-01	9.157034e-01	1.993986e-01	UBB
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS	2/145	1.258934e-01	2.774918e-01	4.135135e+00	8.569324e+00	UBB;CFTR
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_CLEC7A_DECTIN_1_SIGNALING	1/100	3.465095e-01	4.500740e-01	3.547067e+00	3.759341e+00	UBB
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_COBALAMIN_CBL_VITAMIN_B12_TRANSPORT_AND_METABOLISM	1/22	8.919728e-02	2.334470e-01	1.647370e+01	3.981536e+01	TCN1
